Posicion,Premios,puntos_MVP,primero,AWS,AWS_MEAN,WP,Season,WP_MEAN,Defensivo,Sueldos
111,,,,"Smart,Marcus",7.789130434782609,"Covington,Robert",2018,0.1335649145213881,,"Teletovic,Mirza"
112,,,,"Sabonis,Domantas",7.7641975308641955,"Clarkson,Jordan",2018,0.132985286570326,,"Bogdanovic,Bojan"
113,,,,"Rivers,Austin",7.763114754098358,"Barea,J.J.",2018,0.13199294284897653,,"Ross,Terrence"
114,,,,"Beasley,Michael",7.762328767123287,"Cauley-Stein,Willie",2018,0.13164721047262276,,"Covington,Robert"
115,,,,"Brown,Jaylen",7.721022727272729,"Burke,Trey",2018,0.13162537484656087,,"Shumpert,Iman"
116,,,,"Gibson,Taj",7.644252873563218,"Turner,Myles",2018,0.13156148585062788,,"Harkless,Maurice"
117,,,,"Turner,Myles",7.593055555555555,"Portis,Bobby",2018,0.13106007719604873,,"Leuer,Jon"
118,,,,"Dedmon,Dewayne",7.583064516129035,"Nowitzki,Dirk",2018,0.1300199644914209,,"Collison,Darren"
119,,,,"Anderson,Kyle",7.560126582278477,"Whiteside,Hassan",2018,0.12989671318716034,,"Jefferson,Al"
120,,,,"Wiggins,Andrew",7.559770114942527,"Green,Draymond",2018,0.1292758664975383,,"Dudley,Jared"
121,,,,"Hield,Buddy",7.496249999999997,"Beverley,Patrick",2018,0.12913592142599908,,"Green,Danny"
122,,,,"Simmons,Jonathon",7.494202898550725,"Belinelli,Marco",2018,0.12909000903715778,,"Leonard,Meyers"
123,,,,"Burke,Trey",7.438888888888888,"Ibaka,Serge",2018,0.1284191274637048,,"Dellavedova,Matthew"
124,,,,"Conley,Mike",7.437500000000001,"Ingram,Andre",2018,0.12835209000677228,,"Bogdanovic,Bogdan"
125,,,,"Augustin,D.J.",7.434000000000001,"Lee,Courtney",2018,0.12771434212722618,,"Powell,Norman"
126,,,,"Teodosić,Miloš",7.321111111111112,"Brogdon,Malcolm",2018,0.12621725664174088,,"Richardson,Josh"
127,,,,"Rozier,Terry",7.307070707070707,"Bogdanović,Bogdan",2018,0.12551577343134826,,"Roberson,Andre"
128,,,,"Wade,Dwyane",7.299305555555555,"Parker,Jabari",2018,0.1253713175021315,,"Powell,Dwight"
129,,,,"Chandler,Tyson",7.229347826086958,"Oubre,Kelly",2018,0.1242131077639389,,"Henderson,Gerald"
130,,,,"Aminu,Al-Farouq",7.22808219178082,"Ingles,Joe",2018,0.12391274850725773,,"Bradley,Avery"
131,,,,"Gallinari,Danilo",7.190476190476191,"Collison,Darren",2018,0.12345771481150535,,"Morris,Markieff"
132,,,,"Lopez,Robin",7.121875,"Lee,Damion",2018,0.1231144415633124,,"Bayless,Jerryd"
133,,,,"Green,JaMychal",7.1118181818181805,"Smart,Marcus",2018,0.12293014414317995,,"Green,JaMychal"
134,,,,"LaVine,Zach",7.104166666666668,"Gobert,Rudy",2018,0.12279446655705233,,"Felicio,Cristiano"
