Equipo A,Equipo B,Distancia
New Jersey Nets,Chicago Bulls,1150
New Jersey Nets,Minnesota Timberwolves,1641
New Jersey Nets,New York Knicks,9
New Jersey Nets,Denver Nuggets,2621
New Jersey Nets,Golden State Warriors,4116
New Jersey Nets,Dallas Mavericks,2206
New Jersey Nets,Charlotte Bobcats,852
New Jersey Nets,Memphis Grizzlies,1538
New Jersey Nets,San Antonio Spurs,2543
New Jersey Nets,New Orleans Hornets,1878
New Jersey Nets,Oklahoma City Thunder,2132
New Jersey Nets,Orlando Magic,1505
New Jersey Nets,Washington Wizards,328
New Jersey Nets,Cleveland Cavaliers,655
New Jersey Nets,Boston Celtics,306
New Jersey Nets,Portland Trail Blazers,3927
New Jersey Nets,Los Angeles Lakers,3936
New Jersey Nets,Sacramento Kings,4024
New Jersey Nets,Indiana Pacers,1039
New Jersey Nets,Phoenix Suns,3444
New Jersey Nets,Utah Jazz,3169
New Jersey Nets,Houston Rockets,2279
New Jersey Nets,Toronto Raptors,563
New Jersey Nets,Miami Heat,1750
New Jersey Nets,Los Angeles Clippers,3936
New Jersey Nets,Atlanta Hawks,1198
New Jersey Nets,Milwaukee Bucks,1183
New Jersey Nets,New Orleans Pelicans,1878
New Jersey Nets,Charlotte Hornets,852
Charlotte Bobcats,Philadelphia 76ers,1324
Charlotte Bobcats,Detroit Pistons,812
Charlotte Bobcats,Chicago Bulls,943
Charlotte Bobcats,Minnesota Timberwolves,1509
Charlotte Bobcats,New York Knicks,854
Charlotte Bobcats,Denver Nuggets,2178
Charlotte Bobcats,Golden State Warriors,3678
Charlotte Bobcats,Dallas Mavericks,1493
Charlotte Bobcats,New Jersey Nets,852
Charlotte Bobcats,Memphis Grizzlies,836
Charlotte Bobcats,San Antonio Spurs,1774
Charlotte Bobcats,New Orleans Hornets,1043
Charlotte Bobcats,Oklahoma City Thunder,1509
Charlotte Bobcats,Orlando Magic,744
Charlotte Bobcats,Washington Wizards,529
Charlotte Bobcats,Cleveland Cavaliers,700
Charlotte Bobcats,Boston Celtics,1158
Charlotte Bobcats,Portland Trail Blazers,3672
Charlotte Bobcats,Los Angeles Lakers,3399
Charlotte Bobcats,Sacramento Kings,3599
Charlotte Bobcats,Indiana Pacers,688
Charlotte Bobcats,Phoenix Suns,2859
Charlotte Bobcats,Utah Jazz,2770
Charlotte Bobcats,Houston Rockets,1487
Charlotte Bobcats,Toronto Raptors,949
Charlotte Bobcats,Miami Heat,1052
Charlotte Bobcats,Los Angeles Clippers,3399
Charlotte Bobcats,Atlanta Hawks,364
Charlotte Bobcats,Milwaukee Bucks,1059
Charlotte Bobcats,Brooklyn Nets,852
Charlotte Bobcats,New Orleans Pelicans,1043
Memphis Grizzlies,Philadelphia 76ers,271
Memphis Grizzlies,Detroit Pistons,1007
Memphis Grizzlies,Chicago Bulls,780
Memphis Grizzlies,Minnesota Timberwolves,1132
Memphis Grizzlies,New York Knicks,1536
Memphis Grizzlies,Denver Nuggets,1412
Memphis Grizzlies,Golden State Warriors,2879
Memphis Grizzlies,Dallas Mavericks,672
Memphis Grizzlies,New Jersey Nets,1538
Memphis Grizzlies,Charlotte Bobcats,836
Memphis Grizzlies,San Antonio Spurs,1011
Memphis Grizzlies,New Orleans Hornets,570
Memphis Grizzlies,Oklahoma City Thunder,677
Memphis Grizzlies,Orlando Magic,1094
Memphis Grizzlies,Washington Wizards,1228
Memphis Grizzlies,Cleveland Cavaliers,1018
Memphis Grizzlies,Boston Celtics,1828
Memphis Grizzlies,Portland Trail Blazers,2970
Memphis Grizzlies,Los Angeles Lakers,2571
Memphis Grizzlies,Sacramento Kings,2807
Memphis Grizzlies,Indiana Pacers,623
Memphis Grizzlies,Phoenix Suns,2025
Memphis Grizzlies,Utah Jazz,2007
Memphis Grizzlies,Houston Rockets,772
Memphis Grizzlies,Toronto Raptors,1320
Memphis Grizzlies,Miami Heat,1399
Memphis Grizzlies,Los Angeles Clippers,2571
Memphis Grizzlies,Atlanta Hawks,540
Memphis Grizzlies,Milwaukee Bucks,902
Memphis Grizzlies,Brooklyn Nets,1538
Memphis Grizzlies,New Orleans Pelicans,570
