Team,Name,Season,AWS_MEAN
Atlanta Hawks,"Young,Trae",2019,13.282098765432101
New Orleans Pelicans,"Holiday,Jrue",2020,13.228181818181822
Minnesota Timberwolves,"Butler,Jimmy",2018,13.09296875
Chicago Bulls,"LaVine,Zach",2019,13.08174603174603
Minnesota Timberwolves,"Butler,Jimmy",2019,12.985
Memphis Grizzlies,"Brooks,MarShon",2018,12.964285714285717
Houston Rockets,"Paul,Chris",2019,12.923913043478258
New Orleans Pelicans,"Randle,Julius",2019,12.82945205479452
Golden State Warriors,"Green,Draymond",2018,12.789560439560443
Phoenix Suns,"Booker,Devin",2018,12.72777777777778
New Orleans Pelicans,"Holiday,Jrue",2018,12.677777777777777
Oklahoma City Thunder,"George,Paul",2018,12.670588235294115
Toronto Raptors,"Lowry,Kyle",2018,12.626136363636368
Los Angeles Clippers,"Williams,Lou",2018,12.585443037974686
Charlotte Hornets,"Walker,Kemba",2018,12.253125
Washington Wizards,"Beal,Bradley",2018,12.211363636363636
Milwaukee Bucks,"Bledsoe,Eric",2018,12.06923076923077
